lp_w,Pf_Ps,alpha,trap_frac,mean_vx
3.5,1.875,1.9974400544489443,0.0,25442.908585120746
3.5,2.0,1.9929491247817566,0.0,29475.60651530358
3.75,0.125,1.8515086870346096,0.51884,-10930.582262854874
3.75,0.25,2.007007231141674,0.54894,-16428.07223954892
3.75,0.375,2.047306483803352,0.51202,-17287.840987287644
3.75,0.5,2.0209820647671806,0.4562,-15824.48798028504
3.75,0.625,2.0361216564772957,0.41338,-13022.259828707709
3.75,0.75,2.0427707038398975,0.36916,-9712.77952653223
3.75,0.875,2.045087251863496,0.32344,-6067.34693529999
3.75,1.0,2.018910050510078,0.25898,-2170.596797485936
3.75,1.125,1.7004370369332853,0.12408,1810.7699465756994
3.75,1.25,1.9388411107042445,0.02182,5909.288899524257
3.75,1.375,1.9726136434007844,0.00176,10075.192215928233
3.75,1.5,1.9843239946373192,6e-05,14285.619123706345
3.75,1.625,1.9893733650026588,0.0,18535.57931633887
3.75,1.75,1.9898314668416717,0.0,22805.93679383653
3.75,1.875,1.9931502463843511,0.0,27122.022344999208
3.75,2.0,1.9944457832021802,0.0,31449.65180889878
4.0,0.125,1.9099132902575269,0.53906,-12801.811681269684
4.0,0.25,2.007384175848645,0.55372,-18600.39277690031
4.0,0.375,2.035473419215895,0.51436,-19113.096661723706
4.0,0.5,2.0385215036842705,0.4557,-17311.765044162294
4.0,0.625,2.039346104336263,0.40986,-14192.362653249646
4.0,0.75,2.0331406714212665,0.36702,-10634.80463309579
4.0,0.875,2.0478976630435253,0.32486,-6663.93531938693
4.0,1.0,2.002130933640871,0.25896,-2517.079063816761
4.0,1.125,1.7278130324110414,0.12666,1771.9683087464994
4.0,1.25,1.9371314589045263,0.0196,6154.80332536029
4.0,1.375,1.9685663002330893,0.00098,10608.231904114535
4.0,1.5,1.982027235626154,8e-05,15094.841474917544
4.0,1.625,1.9896962548115,0.0,19643.534455083114
4.0,1.75,1.9925087838448075,0.0,24215.7807525164
4.0,1.875,1.9927715649999163,0.0,28843.816535388163
4.0,2.0,1.9938400939182144,0.0,33496.39403006729
